epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49057,1.53365,3.68969,1.8528,0.01032,0.6875,0.29651,0.2742,1.28074,3.52075,1.6505,2.222e-05,2.222e-05,2.222e-05
2,5.57475,1.365,3.54296,1.71747,0.0121,0.6875,0.30273,0.25201,1.28778,3.51178,1.64735,5.5275e-05,5.5275e-05,5.5275e-05
3,6.62754,1.30817,3.57299,1.67123,0.00825,0.4375,0.32362,0.29283,1.32082,3.55247,1.68368,8.80001e-05,8.80001e-05,8.80001e-05
4,7.68281,1.24027,3.50327,1.76408,0.00689,0.4375,0.31322,0.28309,1.18638,3.54533,1.60613,0.000120395,0.000120395,0.000120395
5,8.7082,1.17005,3.40296,1.61751,0.00647,0.46875,0.33071,0.26707,1.11329,3.4672,1.47884,0.00015246,0.00015246,0.00015246
6,9.81773,1.10282,3.22455,1.57521,0.00658,0.5,0.32014,0.23848,1.11716,3.46961,1.4933,0.000184195,0.000184195,0.000184195
7,11.0712,1.19016,3.15695,1.60465,0.00643,0.5,0.13761,0.09316,1.15149,3.449,1.52462,0.000215601,0.000215601,0.000215601
8,12.0369,1.13928,2.94578,1.51237,0.00607,0.5,0.12938,0.07783,1.25649,3.44936,1.5911,0.000246676,0.000246676,0.000246676
9,13.1452,1.34959,2.8608,1.68116,0.00716,0.625,0.16822,0.1014,1.47509,3.4034,1.67156,0.000277421,0.000277421,0.000277421
10,14.1666,1.12814,2.68345,1.53613,0.00704,0.84375,0.17872,0.11453,1.6041,3.42723,1.77131,0.000307836,0.000307836,0.000307836
11,15.2068,1.23204,2.66498,1.65599,0.0067,0.84375,0.10682,0.07088,1.83531,3.42987,1.96734,0.000337922,0.000337922,0.000337922
12,16.8201,1.21578,2.48159,1.56852,0.00414,0.71875,0.16119,0.09916,1.82158,3.42462,2.07133,0.000367677,0.000367677,0.000367677
13,18.3132,1.18794,2.49703,1.58907,0.00397,0.75,0.14967,0.09199,1.72247,3.44594,2.13438,0.000397103,0.000397103,0.000397103
14,19.3684,1.29995,2.46167,1.63536,0.00387,0.75,0.13418,0.06938,1.80624,3.37917,2.16723,0.000426198,0.000426198,0.000426198
15,20.3502,1.16542,2.53466,1.60101,0.00391,0.75,0.21955,0.11897,1.73035,3.10069,2.06553,0.000454963,0.000454963,0.000454963
16,21.3766,1.21029,2.19102,1.54474,0.00391,0.75,0.19981,0.10498,1.85464,3.03106,2.13889,0.000483399,0.000483399,0.000483399
17,22.309,1.25503,2.26998,1.49586,0.00384,0.75,0.16611,0.07799,2.12811,3.11391,2.35435,0.000511504,0.000511504,0.000511504
18,23.3181,1.1783,2.20902,1.57926,0.00401,0.75,0.13727,0.07052,2.06116,3.318,2.49745,0.00053928,0.00053928,0.00053928
19,24.4395,1.13133,2.10912,1.57148,0.00355,0.5,0.16887,0.09766,1.96121,3.22924,2.40422,0.000566726,0.000566726,0.000566726
20,25.499,1.0751,1.88301,1.46574,0.87387,0.24774,0.26612,0.13005,1.89,3.03899,2.17708,0.000593841,0.000593841,0.000593841
21,26.568,1.11404,2.12815,1.51465,0.17477,0.41655,0.2362,0.11679,1.88749,2.93841,2.14294,0.000620627,0.000620627,0.000620627
22,27.6752,1.2076,2.13957,1.59073,0.96498,0.125,0.20125,0.10152,1.90119,2.85027,2.05745,0.000647083,0.000647083,0.000647083
23,28.9051,1.18457,2.03721,1.48123,0.97764,0.125,0.16711,0.10159,1.95681,2.85592,2.08417,0.000673208,0.000673208,0.000673208
24,30.492,1.0254,1.94688,1.42202,0.49986,0.125,0.16535,0.08696,2.01042,2.96991,1.95543,0.000699004,0.000699004,0.000699004
25,31.7596,1.14676,1.94056,1.50309,0.00651,0.875,0.1895,0.08229,1.97603,3.09608,2.04613,0.00072447,0.00072447,0.00072447
26,32.8772,1.10596,1.7437,1.43456,0.25,0.12637,0.23767,0.12464,1.9033,2.85915,1.97191,0.000749606,0.000749606,0.000749606
27,33.852,1.15002,1.8012,1.42535,0.43182,0.25,0.26357,0.13709,1.69851,2.42661,1.835,0.000774411,0.000774411,0.000774411
28,34.9742,1.31538,2.01072,1.68124,0.41502,0.25,0.26437,0.16083,1.59282,1.98596,1.85629,0.000798887,0.000798887,0.000798887
29,35.9592,1.11085,1.8167,1.52665,0.41502,0.25,0.26437,0.16083,1.59282,1.98596,1.85629,0.000823033,0.000823033,0.000823033
30,36.985,1.19972,1.82383,1.53925,0.79343,0.5,0.33969,0.22212,1.30505,1.60575,1.65524,0.000846849,0.000846849,0.000846849
31,37.9884,1.24287,1.88051,1.48019,0.86959,0.37944,0.48722,0.28049,1.26364,1.7047,1.64312,0.000870335,0.000870335,0.000870335
32,39.0508,1.2593,2.09218,1.53672,0.97301,0.34982,0.48298,0.26251,1.32898,1.7411,1.67682,0.000893491,0.000893491,0.000893491
33,40.0167,1.17851,1.88654,1.41456,0.97301,0.34982,0.48298,0.26251,1.32898,1.7411,1.67682,0.000916317,0.000916317,0.000916317
34,41.0731,1.18492,1.77716,1.47066,0.57987,0.4375,0.49542,0.2386,1.49448,1.84207,1.79544,0.000929518,0.000929518,0.000929518
35,42.455,1.09892,1.79169,1.37736,0.929,0.28459,0.50134,0.23674,1.64633,2.3591,1.9035,0.000924019,0.000924019,0.000924019
36,44.141,1.15701,1.67222,1.48566,0.64731,0.30981,0.46871,0.17115,1.81602,2.39161,2.02387,0.000918519,0.000918519,0.000918519
37,45.2207,1.15384,1.89048,1.52538,0.64731,0.30981,0.46871,0.17115,1.81602,2.39161,2.02387,0.00091302,0.00091302,0.00091302
38,46.1749,1.06321,1.66437,1.38584,0.69028,0.34375,0.44891,0.14794,1.76991,2.27846,1.90774,0.00090752,0.00090752,0.00090752
39,47.253,1.0787,1.83545,1.48495,0.74347,0.4375,0.31999,0.18114,1.67484,1.96085,1.80397,0.000902021,0.000902021,0.000902021
40,48.7601,1.12763,1.75055,1.42661,0.46092,0.5,0.33587,0.19706,1.4644,1.74598,1.61491,0.000896521,0.000896521,0.000896521
41,50.1068,1.21616,1.83637,1.41941,0.46092,0.5,0.33587,0.19706,1.4644,1.74598,1.61491,0.000891022,0.000891022,0.000891022
42,51.0549,1.06137,1.59314,1.37042,0.97219,0.24969,0.31478,0.20239,1.5709,1.61715,1.65388,0.000885523,0.000885523,0.000885523
43,52.1719,1.04286,1.54335,1.39736,1,0.24017,0.37312,0.21947,1.62556,1.64064,1.73843,0.000880023,0.000880023,0.000880023
44,53.1923,1.12763,1.69705,1.43355,0.74365,0.25,0.49872,0.26862,1.42017,1.61511,1.69107,0.000874524,0.000874524,0.000874524
45,54.1931,1.06607,1.73815,1.42286,0.74365,0.25,0.49872,0.26862,1.42017,1.61511,1.69107,0.000869024,0.000869024,0.000869024
46,55.2647,1.04318,1.63153,1.42255,0.4938,0.25,0.37458,0.24031,1.29915,1.82825,1.6021,0.000863525,0.000863525,0.000863525
47,56.8587,0.95297,1.47792,1.32533,0.287,0.47553,0.37726,0.22194,1.32802,1.78539,1.62289,0.000858025,0.000858025,0.000858025
48,58.2049,1.05175,1.56983,1.47662,0.33033,0.5,0.50515,0.31938,1.31101,1.602,1.60796,0.000852526,0.000852526,0.000852526
49,59.2849,1.10239,1.47447,1.38475,0.33033,0.5,0.50515,0.31938,1.31101,1.602,1.60796,0.000847026,0.000847026,0.000847026
50,60.2977,1.02074,1.48509,1.38464,0.42157,0.5,0.50709,0.32629,1.40513,1.5733,1.63536,0.000841527,0.000841527,0.000841527
51,61.3929,1.10345,1.63414,1.48102,0.66367,0.49331,0.50059,0.3636,1.31984,1.63694,1.63085,0.000836027,0.000836027,0.000836027
52,62.4516,1.01975,1.49194,1.40147,0.6415,0.4375,0.49981,0.39104,1.22516,1.85978,1.54048,0.000830528,0.000830528,0.000830528
53,63.4156,1.00593,1.54698,1.34923,0.6415,0.4375,0.49981,0.39104,1.22516,1.85978,1.54048,0.000825029,0.000825029,0.000825029
54,64.4898,1.07782,1.5966,1.39585,0.63887,0.65988,0.50789,0.395,1.13471,1.75925,1.52905,0.000819529,0.000819529,0.000819529
55,65.5737,1.01469,1.46759,1.35548,0.67965,0.4375,0.49987,0.36945,1.12577,1.96702,1.60664,0.00081403,0.00081403,0.00081403
56,66.5876,1.03777,1.49294,1.37425,0.68366,0.42979,0.46752,0.3473,1.14758,2.07823,1.71438,0.00080853,0.00080853,0.00080853
57,67.5788,0.95528,1.52092,1.39407,0.68366,0.42979,0.46752,0.3473,1.14758,2.07823,1.71438,0.000803031,0.000803031,0.000803031
58,68.9142,0.91584,1.27875,1.26178,0.71861,0.4375,0.46107,0.32524,1.33074,2.03718,1.87713,0.000797531,0.000797531,0.000797531
59,70.5537,1.11979,1.47254,1.40512,0.97981,0.4375,0.45835,0.32419,1.26938,1.89298,1.68767,0.000792032,0.000792032,0.000792032
60,72.1357,0.96589,1.43311,1.32783,0.98544,0.4375,0.45712,0.3025,1.2595,1.87228,1.61646,0.000786532,0.000786532,0.000786532
61,73.6474,0.98624,1.44452,1.38702,0.98544,0.4375,0.45712,0.3025,1.2595,1.87228,1.61646,0.000781033,0.000781033,0.000781033
62,75.1268,1.03471,1.36559,1.36847,0.9832,0.43426,0.4795,0.32135,1.25782,1.85872,1.69357,0.000775534,0.000775534,0.000775534
63,76.1351,1.02782,1.46076,1.38445,0.94002,0.4087,0.50971,0.38944,1.27726,1.97662,1.69966,0.000770034,0.000770034,0.000770034
64,77.1347,0.93449,1.3136,1.37049,0.66612,0.75,0.54725,0.41522,1.20287,1.63722,1.57278,0.000764535,0.000764535,0.000764535
65,78.1283,0.99665,1.39925,1.36132,0.66612,0.75,0.54725,0.41522,1.20287,1.63722,1.57278,0.000759035,0.000759035,0.000759035
66,79.2149,0.84084,1.33053,1.32989,0.72555,0.75,0.55969,0.39392,1.24523,1.44679,1.55552,0.000753536,0.000753536,0.000753536
67,80.2873,0.92335,1.316,1.29045,0.97764,0.5,0.53896,0.36398,1.36302,1.39968,1.59934,0.000748036,0.000748036,0.000748036
68,81.4348,1.00866,1.21883,1.30235,0.9526,0.5,0.54725,0.33936,1.398,1.41611,1.67785,0.000742537,0.000742537,0.000742537
69,82.8925,0.95217,1.31099,1.36689,0.9526,0.5,0.54725,0.33936,1.398,1.41611,1.67785,0.000737037,0.000737037,0.000737037
70,84.4625,0.91095,1.22076,1.2242,0.59285,0.5,0.5147,0.30303,1.47834,1.67666,1.77491,0.000731538,0.000731538,0.000731538
